# 241009_14:33:16.275137
t	CH1	CH2
0.000000e+00	-3.657270e-03	1.374101e+00
1.000000e-08	-4.825480e-03	1.363507e+00
2.000000e-08	-2.835779e-03	1.348686e+00
3.000000e-08	-3.414939e-03	1.339159e+00
4.000000e-08	-4.191276e-03	1.328572e+00
5.000000e-08	-5.249079e-03	1.311988e+00
6.000000e-08	-3.368335e-03	1.298212e+00
7.000000e-08	-2.127571e-03	1.290835e+00
8.000000e-08	-2.664235e-03	1.273051e+00
9.000000e-08	-3.640254e-03	1.259179e+00
1.000000e-07	-3.740092e-03	1.246642e+00
1.100000e-07	-3.296406e-03	1.237698e+00
1.200000e-07	-4.178547e-03	1.213267e+00
1.300000e-07	-4.810764e-03	1.203427e+00
1.400000e-07	-4.000988e-03	1.187600e+00
1.500000e-07	-2.964612e-03	1.171791e+00
1.600000e-07	-1.673944e-03	1.153893e+00
1.700000e-07	-2.911024e-03	1.135959e+00
1.800000e-07	-3.446354e-03	1.115219e+00
1.900000e-07	-4.123925e-03	1.102375e+00
2.000000e-07	-3.457186e-03	1.084385e+00
2.100000e-07	-3.939172e-03	1.068542e+00
2.200000e-07	-4.631173e-03	1.046858e+00
2.300000e-07	-4.631564e-03	1.030603e+00
2.400000e-07	-2.890697e-03	1.007703e+00
2.500000e-07	-3.292235e-03	9.897931e-01
2.600000e-07	-3.379354e-03	9.700503e-01
2.700000e-07	-3.314340e-03	9.506930e-01
2.800000e-07	-3.094502e-03	9.288103e-01
2.900000e-07	-3.042606e-03	9.109551e-01
3.000000e-07	-3.075996e-03	8.938557e-01
3.100000e-07	-4.636260e-03	8.677002e-01
3.200000e-07	-4.104835e-03	8.466551e-01
3.300000e-07	-3.667711e-03	8.255473e-01
3.400000e-07	-3.840946e-03	8.056421e-01
3.500000e-07	-3.352491e-03	7.822818e-01
3.600000e-07	-2.985127e-03	7.592294e-01
3.700000e-07	-2.814713e-03	7.371081e-01
3.800000e-07	-3.470635e-03	7.148634e-01
3.900000e-07	-4.095964e-03	6.878681e-01
4.000000e-07	-4.689312e-03	6.686504e-01
4.100000e-07	-3.993811e-03	6.464427e-01
4.200000e-07	-3.237233e-03	6.203326e-01
4.300000e-07	-3.516379e-03	6.022371e-01
4.400000e-07	-3.396743e-03	5.793345e-01
4.500000e-07	-3.614463e-03	5.529710e-01
4.600000e-07	-3.447417e-03	5.327578e-01
4.700000e-07	-3.830353e-03	5.045919e-01
4.800000e-07	-4.338690e-03	4.750735e-01
4.900000e-07	-4.065021e-03	4.489185e-01
5.000000e-07	-3.184728e-03	4.298260e-01
5.100000e-07	-3.028425e-03	4.056971e-01
5.200000e-07	-3.032390e-03	3.801347e-01
5.300000e-07	-3.442514e-03	3.581347e-01
5.400000e-07	-3.553889e-03	3.330109e-01
5.500000e-07	-3.754442e-03	3.087656e-01
5.600000e-07	-3.647803e-03	2.863025e-01
5.700000e-07	-3.443969e-03	2.603399e-01
5.800000e-07	-3.476303e-03	2.340688e-01
5.900000e-07	-3.049017e-03	2.097585e-01
6.000000e-07	-2.631475e-03	1.886103e-01
6.100000e-07	-3.037309e-03	1.623842e-01
6.200000e-07	-3.072278e-03	1.308213e-01
6.300000e-07	-2.358453e-03	1.054002e-01
6.400000e-07	-3.877025e-03	7.608158e-02
6.500000e-07	-2.163804e-03	5.062541e-02
6.600000e-07	-6.717688e-03	2.461565e-02
6.700000e-07	1.796654e-03	1.047138e-03
6.800000e-07	-4.081150e-03	-2.216352e-02
6.900000e-07	7.233181e-03	-4.416140e-02
7.000000e-07	3.872988e-03	-6.953220e-02
7.100000e-07	-1.133086e-03	-9.579723e-02
7.200000e-07	3.194273e-04	-1.136929e-01
7.300000e-07	-2.220678e-03	-1.469715e-01
7.400000e-07	-1.778922e-03	-1.715170e-01
7.500000e-07	-3.126007e-03	-1.885239e-01
7.600000e-07	3.702139e-02	-2.061607e-01
7.700000e-07	1.020594e-01	-2.360608e-01
7.800000e-07	-5.022478e-02	-2.893722e-01
7.900000e-07	-3.102531e-02	-3.198956e-01
8.000000e-07	-2.568744e-02	-3.399529e-01
8.100000e-07	-1.174969e-01	-3.558370e-01
8.200000e-07	1.663024e-02	-3.495109e-01
8.300000e-07	1.145769e-01	-3.849043e-01
8.400000e-07	-1.589878e-01	-4.150369e-01
8.500000e-07	1.341449e-01	-4.144771e-01
8.600000e-07	-2.458832e-02	-4.612162e-01
8.700000e-07	-1.073840e-01	-4.822376e-01
8.800000e-07	1.534872e-01	-4.974456e-01
8.900000e-07	-1.387340e-01	-5.548724e-01
9.000000e-07	3.557503e-02	-5.411827e-01
9.100000e-07	5.952263e-02	-5.809459e-01
9.200000e-07	-1.085556e-01	-6.016455e-01
9.300000e-07	1.743575e-01	-6.197257e-01
9.400000e-07	-1.003604e-01	-6.683142e-01
9.500000e-07	2.885438e-02	-6.663582e-01
9.600000e-07	-1.240949e-02	-7.102094e-01
9.700000e-07	-8.971321e-02	-7.348738e-01
9.800000e-07	1.428809e-01	-7.440435e-01
9.900000e-07	-1.045881e-01	-7.823061e-01
1.000000e-06	1.139241e-01	-7.894541e-01
1.010000e-06	-4.329235e-02	-8.303134e-01
1.020000e-06	-3.365264e-02	-8.463087e-01
1.030000e-06	7.827278e-02	-8.691384e-01
1.040000e-06	-1.250072e-01	-8.947798e-01
1.050000e-06	9.685956e-02	-9.031353e-01
1.060000e-06	-5.774324e-02	-9.338227e-01
1.070000e-06	6.669469e-02	-9.456878e-01
1.080000e-06	-2.776146e-04	-9.744612e-01
1.090000e-06	-4.119299e-02	-9.884960e-01
1.100000e-06	3.674394e-02	-1.005396e+00
1.110000e-06	-7.100088e-02	-1.039819e+00
1.120000e-06	6.801365e-02	-1.045333e+00
1.130000e-06	-5.073825e-02	-1.065491e+00
1.140000e-06	3.792736e-02	-1.074629e+00
1.150000e-06	-5.821706e-03	-1.100081e+00
1.160000e-06	5.671878e-03	-1.113859e+00
1.170000e-06	1.222730e-02	-1.134659e+00
1.180000e-06	-3.877223e-02	-1.149657e+00
1.190000e-06	1.618758e-02	-1.168186e+00
1.200000e-06	-2.132528e-02	-1.187651e+00
1.210000e-06	3.440256e-02	-1.200165e+00
1.220000e-06	-1.774167e-02	-1.218070e+00
1.230000e-06	9.146440e-03	-1.228748e+00
1.240000e-06	-6.508971e-03	-1.250549e+00
1.250000e-06	2.286545e-03	-1.267233e+00
1.260000e-06	2.908690e-05	-1.273909e+00
1.270000e-06	-1.116048e-02	-1.289756e+00
1.280000e-06	3.720537e-03	-1.302233e+00
1.290000e-06	-1.053927e-03	-1.318117e+00
1.300000e-06	1.116131e-02	-1.334746e+00
1.310000e-06	-9.101649e-03	-1.342530e+00
1.320000e-06	-2.383618e-03	-1.357864e+00
1.330000e-06	-3.590600e-03	-1.373448e+00
1.340000e-06	5.488848e-03	-1.378169e+00
1.350000e-06	-5.249058e-04	-1.397004e+00
1.360000e-06	-2.876204e-03	-1.404580e+00
1.370000e-06	-1.649793e-03	-1.419162e+00
1.380000e-06	2.797635e-03	-1.426696e+00
1.390000e-06	4.448184e-04	-1.439039e+00
1.400000e-06	-4.689674e-03	-1.443628e+00
1.410000e-06	-4.892980e-03	-1.458164e+00
1.420000e-06	1.108329e-03	-1.464433e+00
1.430000e-06	4.678708e-03	-1.473896e+00
1.440000e-06	6.049903e-04	-1.474899e+00
1.450000e-06	-3.995539e-03	-1.482535e+00
1.460000e-06	-2.843441e-03	-1.489547e+00
1.470000e-06	1.009115e-03	-1.493099e+00
1.480000e-06	2.589614e-04	-1.500265e+00
1.490000e-06	-2.255911e-03	-1.500468e+00
1.500000e-06	-2.372934e-03	-1.509636e+00
1.510000e-06	8.068871e-04	-1.513987e+00
1.520000e-06	1.740452e-03	-1.513134e+00
1.530000e-06	-1.628493e-03	-1.515244e+00
1.540000e-06	-4.136000e-03	-1.522314e+00
1.550000e-06	-1.877498e-03	-1.519475e+00
1.560000e-06	4.720816e-04	-1.524520e+00
1.570000e-06	8.561790e-04	-1.524385e+00
1.580000e-06	-2.111134e-03	-1.523722e+00
1.590000e-06	-2.770410e-03	-1.526546e+00
1.600000e-06	-6.874895e-05	-1.527686e+00
1.610000e-06	9.858030e-05	-1.528646e+00
1.620000e-06	-2.030285e-03	-1.526680e+00
1.630000e-06	-3.655938e-03	-1.525730e+00
1.640000e-06	-2.219236e-03	-1.525831e+00
1.650000e-06	1.427434e-03	-1.526428e+00
1.660000e-06	-7.659082e-04	-1.522370e+00
1.670000e-06	-2.643947e-03	-1.522257e+00
1.680000e-06	-3.661649e-03	-1.518259e+00
1.690000e-06	-1.135378e-03	-1.521149e+00
1.700000e-06	7.174614e-04	-1.507793e+00
1.710000e-06	-1.069208e-03	-1.507578e+00
1.720000e-06	-3.090394e-03	-1.506415e+00
1.730000e-06	-1.915722e-03	-1.499570e+00
1.740000e-06	-9.253157e-04	-1.496251e+00
1.750000e-06	-1.872272e-03	-1.487680e+00
1.760000e-06	-3.839385e-03	-1.481404e+00
1.770000e-06	-3.798848e-03	-1.473998e+00
1.780000e-06	-9.018585e-04	-1.459747e+00
1.790000e-06	-2.683794e-04	-1.458059e+00
1.800000e-06	-2.026263e-03	-1.448800e+00
1.810000e-06	-3.705494e-03	-1.444480e+00
1.820000e-06	-2.656814e-03	-1.432841e+00
1.830000e-06	-1.460283e-03	-1.418516e+00
1.840000e-06	-2.309701e-03	-1.410285e+00
1.850000e-06	-3.434407e-03	-1.394104e+00
1.860000e-06	-3.187993e-03	-1.389330e+00
1.870000e-06	-7.816817e-04	-1.377011e+00
1.880000e-06	-1.154996e-03	-1.360469e+00
1.890000e-06	-3.068704e-03	-1.349685e+00
1.900000e-06	-3.904897e-03	-1.333161e+00
1.910000e-06	-2.657681e-03	-1.324588e+00
1.920000e-06	-2.095613e-03	-1.317891e+00
1.930000e-06	-2.487450e-03	-1.295272e+00
1.940000e-06	-3.823889e-03	-1.288687e+00
1.950000e-06	-3.283620e-03	-1.274848e+00
1.960000e-06	-1.982542e-03	-1.259327e+00
1.970000e-06	-2.593344e-03	-1.242648e+00
1.980000e-06	-3.893403e-03	-1.232591e+00
1.990000e-06	-3.394200e-03	-1.218111e+00
2.000000e-06	-2.435993e-03	-1.204274e+00
2.010000e-06	-2.480366e-03	-1.186427e+00
2.020000e-06	-2.737854e-03	-1.165479e+00
2.030000e-06	-3.594638e-03	-1.143635e+00
2.040000e-06	-3.173825e-03	-1.128840e+00
2.050000e-06	-2.577423e-03	-1.106996e+00
2.060000e-06	-3.507638e-03	-1.096006e+00
2.070000e-06	-3.774951e-03	-1.078227e+00
2.080000e-06	-3.543459e-03	-1.060277e+00
2.090000e-06	-2.338561e-03	-1.038377e+00
2.100000e-06	-1.850683e-03	-1.022422e+00
2.110000e-06	-3.127785e-03	-1.000432e+00
2.120000e-06	-3.694073e-03	-9.843346e-01
2.130000e-06	-3.950561e-03	-9.655925e-01
2.140000e-06	-2.836354e-03	-9.465896e-01
2.150000e-06	-3.911260e-03	-9.211898e-01
2.160000e-06	-2.086282e-03	-9.043825e-01
2.170000e-06	-3.212934e-03	-8.852295e-01
2.180000e-06	-2.456209e-03	-8.643869e-01
2.190000e-06	-3.932751e-03	-8.371769e-01
2.200000e-06	-2.551512e-03	-8.189788e-01
2.210000e-06	-4.997151e-03	-7.982310e-01
2.220000e-06	-3.163533e-03	-7.710531e-01
2.230000e-06	-3.656256e-03	-7.474952e-01
2.240000e-06	-4.319881e-03	-7.304947e-01
2.250000e-06	-4.222385e-03	-7.045871e-01
2.260000e-06	-4.354251e-03	-6.792291e-01
2.270000e-06	-3.183263e-03	-6.582242e-01
2.280000e-06	-3.356628e-03	-6.339676e-01
2.290000e-06	-3.941953e-03	-6.117653e-01
2.300000e-06	-4.211251e-03	-5.916054e-01
2.310000e-06	-3.589805e-03	-5.664498e-01
2.320000e-06	-4.347532e-03	-5.475980e-01
2.330000e-06	-5.326980e-03	-5.240234e-01
2.340000e-06	-5.960259e-03	-4.897604e-01
2.350000e-06	-5.547580e-03	-4.579199e-01
2.360000e-06	-4.242900e-03	-4.422924e-01
2.370000e-06	-2.726177e-03	-4.241347e-01
2.380000e-06	-2.947630e-03	-3.972394e-01
2.390000e-06	-4.190116e-03	-3.767710e-01
2.400000e-06	-4.752219e-03	-3.526232e-01
2.410000e-06	-5.102082e-03	-3.275055e-01
2.420000e-06	-5.307817e-03	-2.980891e-01
2.430000e-06	-6.051981e-03	-2.748212e-01
2.440000e-06	-4.319741e-03	-2.506980e-01
2.450000e-06	-3.888022e-03	-2.265505e-01
2.460000e-06	-3.664311e-03	-2.001321e-01
2.470000e-06	-4.712036e-03	-1.749365e-01
2.480000e-06	-4.841364e-03	-1.515232e-01
2.490000e-06	-5.236540e-03	-1.191495e-01
2.500000e-06	-4.310748e-03	-9.273031e-02
2.510000e-06	-4.427195e-03	-6.657320e-02
2.520000e-06	-4.931779e-03	-4.609986e-02
2.530000e-06	-4.898459e-03	-1.609400e-02
2.540000e-06	-3.759241e-03	8.173672e-03
2.550000e-06	8.327707e-04	3.457934e-02
2.560000e-06	4.529125e-03	5.488685e-02
2.570000e-06	-2.768271e-03	7.794736e-02
2.580000e-06	3.917918e-03	1.031355e-01
2.590000e-06	-1.907088e-03	1.262190e-01
2.600000e-06	-1.220165e-03	1.568278e-01
2.610000e-06	-4.578161e-03	1.820506e-01
2.620000e-06	6.321106e-03	1.991006e-01
2.630000e-06	4.851313e-02	2.252196e-01
2.640000e-06	6.925514e-02	2.732746e-01
2.650000e-06	-6.543684e-02	2.896718e-01
2.660000e-06	-3.389872e-02	3.125194e-01
2.670000e-06	-2.169660e-02	3.246038e-01
2.680000e-06	-8.492384e-02	3.471034e-01
2.690000e-06	-6.679885e-02	3.619405e-01
2.700000e-06	1.501531e-01	3.966380e-01
2.710000e-06	-7.949221e-02	4.137668e-01
2.720000e-06	3.274592e-02	4.417406e-01
2.730000e-06	1.082503e-01	4.758319e-01
2.740000e-06	-1.587731e-01	4.767849e-01
2.750000e-06	4.757524e-02	5.156927e-01
2.760000e-06	-3.225725e-02	5.358323e-01
2.770000e-06	-5.937211e-02	5.680514e-01
2.780000e-06	6.952781e-02	6.018932e-01
2.790000e-06	-2.835745e-02	6.156773e-01
2.800000e-06	4.408696e-02	6.439834e-01
2.810000e-06	-1.872071e-03	6.602804e-01
2.820000e-06	-2.358803e-02	6.829932e-01
2.830000e-06	-1.853936e-02	7.084087e-01
2.840000e-06	-4.355339e-02	7.327091e-01
2.850000e-06	5.850728e-02	7.620856e-01
2.860000e-06	-3.274544e-02	7.853985e-01
2.870000e-06	4.230450e-02	8.128167e-01
2.880000e-06	-4.750643e-04	8.316144e-01
2.890000e-06	-4.113379e-02	8.466012e-01
2.900000e-06	2.160136e-02	8.695538e-01
2.910000e-06	-3.848752e-02	8.875063e-01
2.920000e-06	5.110851e-03	9.177742e-01
2.930000e-06	-1.955048e-03	9.378695e-01
2.940000e-06	2.434348e-02	9.549693e-01
2.950000e-06	5.384158e-03	9.750719e-01
2.960000e-06	-1.949180e-02	9.867041e-01
2.970000e-06	-2.610220e-03	1.012709e+00
2.980000e-06	-2.812161e-02	1.028536e+00
2.990000e-06	1.055121e-02	1.051659e+00
3.000000e-06	-6.804705e-03	1.069694e+00
3.010000e-06	2.964960e-03	1.085543e+00
3.020000e-06	7.579911e-03	1.099180e+00
3.030000e-06	-1.970560e-03	1.113817e+00
3.040000e-06	1.695680e-04	1.134262e+00
3.050000e-06	-2.041025e-02	1.150854e+00
3.060000e-06	-6.408270e-03	1.171951e+00
3.070000e-06	-6.347018e-03	1.185480e+00
3.080000e-06	9.350059e-03	1.200228e+00
3.090000e-06	-2.013538e-03	1.216265e+00
3.100000e-06	-5.730406e-03	1.229849e+00
3.110000e-06	7.252019e-04	1.247586e+00
3.120000e-06	-4.629128e-03	1.258173e+00
3.130000e-06	-3.735914e-03	1.275750e+00
3.140000e-06	-1.053701e-02	1.287588e+00
3.150000e-06	-2.750501e-03	1.303438e+00
3.160000e-06	-6.500284e-04	1.314962e+00
