# Temperatura_=_20.0
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_268244.98319825303
# Promedio de 29 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-4.508699e-10	-2.387449e-09	-2.913562e+01	-2.727732e+02
1.000000e-08	-4.507433e-10	-2.388753e-09	-2.912744e+01	-2.728598e+02
2.000000e-08	-4.504752e-10	-2.392345e-09	-2.911011e+01	-2.728380e+02
3.000000e-08	-4.500785e-10	-2.395906e-09	-2.908448e+01	-2.727215e+02
4.000000e-08	-4.495896e-10	-2.398481e-09	-2.905288e+01	-2.725384e+02
5.000000e-08	-4.489923e-10	-2.400215e-09	-2.901428e+01	-2.723262e+02
6.000000e-08	-4.482647e-10	-2.397731e-09	-2.896727e+01	-2.721252e+02
7.000000e-08	-4.474262e-10	-2.391378e-09	-2.891308e+01	-2.719700e+02
8.000000e-08	-4.464548e-10	-2.382080e-09	-2.885031e+01	-2.718820e+02
9.000000e-08	-4.452856e-10	-2.391409e-09	-2.877475e+01	-2.718636e+02
1.000000e-07	-4.438910e-10	-2.438043e-09	-2.868463e+01	-2.718960e+02
1.100000e-07	-4.423285e-10	-2.440867e-09	-2.858366e+01	-2.719418e+02
1.200000e-07	-4.407291e-10	-2.372418e-09	-2.848030e+01	-2.719499e+02
1.300000e-07	-4.391122e-10	-2.281800e-09	-2.837582e+01	-2.718650e+02
1.400000e-07	-4.373369e-10	-2.371587e-09	-2.826110e+01	-2.716371e+02
1.500000e-07	-4.353914e-10	-2.476727e-09	-2.813537e+01	-2.712306e+02
1.600000e-07	-4.333808e-10	-2.297596e-09	-2.800545e+01	-2.706314e+02
1.700000e-07	-4.312525e-10	-2.262678e-09	-2.786791e+01	-2.698492e+02
1.800000e-07	-4.289560e-10	-2.408474e-09	-2.771951e+01	-2.689161e+02
1.900000e-07	-4.265913e-10	-2.297093e-09	-2.756670e+01	-2.678803e+02
2.000000e-07	-4.241658e-10	-2.160583e-09	-2.740996e+01	-2.667978e+02
2.100000e-07	-4.216075e-10	-2.293895e-09	-2.724464e+01	-2.657214e+02
2.200000e-07	-4.189141e-10	-2.265500e-09	-2.707059e+01	-2.646918e+02
2.300000e-07	-4.160648e-10	-2.135720e-09	-2.688646e+01	-2.637304e+02
2.400000e-07	-4.130585e-10	-2.255760e-09	-2.669219e+01	-2.628361e+02
2.500000e-07	-4.099774e-10	-2.245814e-09	-2.649309e+01	-2.619867e+02
2.600000e-07	-4.068246e-10	-2.139853e-09	-2.628935e+01	-2.611443e+02
2.700000e-07	-4.035383e-10	-2.233220e-09	-2.607699e+01	-2.602633e+02
2.800000e-07	-4.001285e-10	-2.219992e-09	-2.585664e+01	-2.592999e+02
2.900000e-07	-3.966003e-10	-2.112534e-09	-2.562865e+01	-2.582204e+02
3.000000e-07	-3.929430e-10	-2.151981e-09	-2.539231e+01	-2.570073e+02
3.100000e-07	-3.891646e-10	-2.149238e-09	-2.514814e+01	-2.556618e+02
3.200000e-07	-3.852568e-10	-2.137004e-09	-2.489561e+01	-2.542023e+02
3.300000e-07	-3.812501e-10	-2.148448e-09	-2.463669e+01	-2.526591e+02
3.400000e-07	-3.771897e-10	-2.101470e-09	-2.437431e+01	-2.510680e+02
3.500000e-07	-3.730284e-10	-2.097705e-09	-2.410540e+01	-2.494614e+02
3.600000e-07	-3.687071e-10	-2.121436e-09	-2.382615e+01	-2.478621e+02
3.700000e-07	-3.642458e-10	-2.069179e-09	-2.353786e+01	-2.462787e+02
3.800000e-07	-3.596818e-10	-2.038206e-09	-2.324293e+01	-2.447041e+02
3.900000e-07	-3.550277e-10	-2.068193e-09	-2.294218e+01	-2.431183e+02
4.000000e-07	-3.502820e-10	-2.050310e-09	-2.263550e+01	-2.414926e+02
4.100000e-07	-3.454434e-10	-2.032570e-09	-2.232283e+01	-2.397968e+02
4.200000e-07	-3.405047e-10	-2.019845e-09	-2.200369e+01	-2.380050e+02
4.300000e-07	-3.354455e-10	-1.986578e-09	-2.167675e+01	-2.361017e+02
4.400000e-07	-3.302559e-10	-1.960210e-09	-2.134140e+01	-2.340839e+02
4.500000e-07	-3.249435e-10	-1.966200e-09	-2.099811e+01	-2.319613e+02
4.600000e-07	-3.195338e-10	-1.944931e-09	-2.064852e+01	-2.297539e+02
4.700000e-07	-3.140507e-10	-1.911100e-09	-2.029420e+01	-2.274863e+02
4.800000e-07	-3.084971e-10	-1.913430e-09	-1.993532e+01	-2.251828e+02
4.900000e-07	-3.028700e-10	-1.898649e-09	-1.957169e+01	-2.228618e+02
5.000000e-07	-2.971541e-10	-1.868159e-09	-1.920232e+01	-2.205324e+02
5.100000e-07	-2.913383e-10	-1.834808e-09	-1.882650e+01	-2.181927e+02
5.200000e-07	-2.854343e-10	-1.810049e-09	-1.844498e+01	-2.158308e+02
5.300000e-07	-2.794498e-10	-1.796696e-09	-1.805825e+01	-2.134286e+02
5.400000e-07	-2.733886e-10	-1.787686e-09	-1.766657e+01	-2.109656e+02
5.500000e-07	-2.672522e-10	-1.761901e-09	-1.727003e+01	-2.084237e+02
5.600000e-07	-2.610440e-10	-1.738359e-09	-1.686886e+01	-2.057909e+02
5.700000e-07	-2.547739e-10	-1.719812e-09	-1.646367e+01	-2.030637e+02
5.800000e-07	-2.484385e-10	-1.695316e-09	-1.605427e+01	-2.002466e+02
5.900000e-07	-2.420357e-10	-1.671674e-09	-1.564051e+01	-1.973505e+02
6.000000e-07	-2.355717e-10	-1.639108e-09	-1.522281e+01	-1.943893e+02
6.100000e-07	-2.290347e-10	-1.611499e-09	-1.480038e+01	-1.913761e+02
6.200000e-07	-2.224071e-10	-1.592437e-09	-1.437210e+01	-1.883198e+02
6.300000e-07	-2.156958e-10	-1.573795e-09	-1.393841e+01	-1.852225e+02
6.400000e-07	-2.089176e-10	-1.538795e-09	-1.350039e+01	-1.820794e+02
6.500000e-07	-2.020894e-10	-1.505898e-09	-1.305915e+01	-1.788794e+02
6.600000e-07	-1.952240e-10	-1.481812e-09	-1.261550e+01	-1.756082e+02
6.700000e-07	-1.883081e-10	-1.456003e-09	-1.216859e+01	-1.722509e+02
6.800000e-07	-1.813256e-10	-1.428955e-09	-1.171737e+01	-1.687957e+02
6.900000e-07	-1.742858e-10	-1.395571e-09	-1.126245e+01	-1.652354e+02
7.000000e-07	-1.672002e-10	-1.363515e-09	-1.080457e+01	-1.615693e+02
