# 241009_14:52:26.661067
t	CH1	CH2
0.000000e+00	-3.698547e-03	2.944266e-01
1.000000e-08	-4.975961e-03	2.893213e-01
2.000000e-08	-5.261596e-03	2.902112e-01
3.000000e-08	-4.932085e-03	2.860131e-01
4.000000e-08	-4.477738e-03	2.840528e-01
5.000000e-08	-5.163720e-03	2.800525e-01
6.000000e-08	-6.255393e-03	2.780478e-01
7.000000e-08	-4.801092e-03	2.789499e-01
8.000000e-08	-3.720036e-03	2.768399e-01
9.000000e-08	-4.334605e-03	2.724425e-01
1.000000e-07	-5.369968e-03	2.723692e-01
1.100000e-07	-5.200618e-03	2.689432e-01
1.200000e-07	-4.743498e-03	2.598958e-01
1.300000e-07	-4.449017e-03	2.503719e-01
1.400000e-07	-5.074304e-03	2.486311e-01
1.500000e-07	-4.916657e-03	2.482233e-01
1.600000e-07	-4.548087e-03	2.441079e-01
1.700000e-07	-3.784465e-03	2.409500e-01
1.800000e-07	-4.367535e-03	2.377450e-01
1.900000e-07	-5.136770e-03	2.366872e-01
2.000000e-07	-4.784565e-03	2.306284e-01
2.100000e-07	-3.763979e-03	2.302640e-01
2.200000e-07	-4.704485e-03	2.230083e-01
2.300000e-07	-4.830045e-03	2.209005e-01
2.400000e-07	-4.755765e-03	2.178325e-01
2.500000e-07	-4.061790e-03	2.144846e-01
2.600000e-07	-4.761743e-03	2.113187e-01
2.700000e-07	-4.826492e-03	2.072630e-01
2.800000e-07	-4.964980e-03	2.020503e-01
2.900000e-07	-3.914243e-03	2.000479e-01
3.000000e-07	-4.128526e-03	1.977323e-01
3.100000e-07	-4.089023e-03	1.915721e-01
3.200000e-07	-4.525253e-03	1.872637e-01
3.300000e-07	-4.746050e-03	1.880034e-01
3.400000e-07	-4.065714e-03	1.745025e-01
3.500000e-07	-4.261462e-03	1.756316e-01
3.600000e-07	-4.490479e-03	1.713740e-01
3.700000e-07	-5.030952e-03	1.643110e-01
3.800000e-07	-3.930671e-03	1.628009e-01
3.900000e-07	-3.280182e-03	1.627895e-01
4.000000e-07	-3.179483e-03	1.502233e-01
4.100000e-07	-3.924901e-03	1.420480e-01
4.200000e-07	-4.004538e-03	1.398420e-01
4.300000e-07	-4.447802e-03	1.376768e-01
4.400000e-07	-3.873705e-03	1.273142e-01
4.500000e-07	-4.169701e-03	1.252580e-01
4.600000e-07	-3.675676e-03	1.198478e-01
4.700000e-07	-3.369876e-03	1.146825e-01
4.800000e-07	-3.108991e-03	1.113190e-01
4.900000e-07	-3.683771e-03	1.038996e-01
5.000000e-07	-3.198863e-03	9.147969e-02
5.100000e-07	-3.954227e-03	8.701079e-02
5.200000e-07	-3.996926e-03	8.105015e-02
5.300000e-07	-3.891864e-03	7.973487e-02
5.400000e-07	-3.273999e-03	7.253160e-02
5.500000e-07	-3.579531e-03	6.926368e-02
5.600000e-07	-4.042426e-03	6.495801e-02
5.700000e-07	-3.697441e-03	5.878274e-02
5.800000e-07	-3.523956e-03	5.547909e-02
5.900000e-07	-3.389008e-03	4.626881e-02
6.000000e-07	-3.967789e-03	4.215789e-02
6.100000e-07	-3.410928e-03	3.995014e-02
6.200000e-07	-3.297887e-03	3.657487e-02
6.300000e-07	-3.277399e-03	3.716885e-02
6.400000e-07	-3.822940e-03	2.605054e-02
6.500000e-07	-2.641628e-03	1.982724e-02
6.600000e-07	-2.823877e-03	8.169067e-03
6.700000e-07	-1.737343e-03	4.060538e-03
6.800000e-07	-3.406424e-03	-1.309869e-03
6.900000e-07	-1.810248e-03	-4.565658e-03
7.000000e-07	-3.313711e-03	-8.676052e-03
7.100000e-07	-1.620015e-03	-1.189397e-02
7.200000e-07	-3.523862e-03	-2.220749e-02
7.300000e-07	-2.101085e-03	-2.150286e-02
7.400000e-07	-2.151846e-03	-2.773366e-02
7.500000e-07	3.337787e-03	-3.593858e-02
7.600000e-07	1.090008e-02	-3.710988e-02
7.700000e-07	6.776824e-04	-4.499789e-02
7.800000e-07	-1.344535e-02	-4.931567e-02
7.900000e-07	2.345215e-02	-5.090106e-02
8.000000e-07	-2.611955e-02	-6.746295e-02
8.100000e-07	-5.083436e-02	-7.153457e-02
8.200000e-07	1.430328e-02	-7.583918e-02
8.300000e-07	2.946744e-02	-7.631197e-02
8.400000e-07	-7.046553e-03	-8.245764e-02
8.500000e-07	-3.333115e-02	-8.920866e-02
8.600000e-07	2.826981e-02	-8.768131e-02
8.700000e-07	3.971453e-02	-9.225606e-02
8.800000e-07	-3.612853e-02	-1.022104e-01
8.900000e-07	-5.063557e-02	-1.114658e-01
9.000000e-07	3.164195e-02	-1.108887e-01
9.100000e-07	3.444612e-02	-1.130994e-01
9.200000e-07	-3.348424e-02	-1.193628e-01
9.300000e-07	-2.583110e-02	-1.257183e-01
9.400000e-07	4.363214e-02	-1.350137e-01
9.500000e-07	8.611000e-03	-1.475656e-01
9.600000e-07	-4.750186e-02	-1.549316e-01
9.700000e-07	-9.918348e-03	-1.560946e-01
9.800000e-07	3.772149e-02	-1.602073e-01
9.900000e-07	-6.365959e-03	-1.653658e-01
1.000000e-06	-2.099344e-02	-1.665688e-01
1.010000e-06	1.975032e-02	-1.667833e-01
1.020000e-06	6.045631e-03	-1.741019e-01
1.030000e-06	-3.174409e-02	-1.851056e-01
1.040000e-06	2.060993e-03	-1.854204e-01
1.050000e-06	2.164169e-02	-1.867732e-01
1.060000e-06	-1.924639e-02	-1.957368e-01
1.070000e-06	-1.275640e-02	-1.959498e-01
1.080000e-06	2.841234e-02	-1.991076e-01
1.090000e-06	1.173255e-03	-2.021101e-01
1.100000e-06	-2.899798e-02	-2.063084e-01
1.110000e-06	1.798032e-03	-2.038281e-01
1.120000e-06	1.463930e-02	-2.100995e-01
1.130000e-06	-1.008646e-02	-2.256156e-01
1.140000e-06	-3.641568e-03	-2.294808e-01
1.150000e-06	7.614698e-03	-2.337921e-01
1.160000e-06	-4.202585e-03	-2.389471e-01
1.170000e-06	-2.022849e-03	-2.401074e-01
1.180000e-06	3.967349e-03	-2.442054e-01
1.190000e-06	-7.855892e-03	-2.474154e-01
1.200000e-06	-5.791621e-03	-2.497862e-01
1.210000e-06	6.194245e-03	-2.526417e-01
1.220000e-06	1.164120e-03	-2.569470e-01
1.230000e-06	-4.429660e-03	-2.600097e-01
1.240000e-06	-2.505258e-03	-2.642632e-01
1.250000e-06	-2.197756e-03	-2.644131e-01
1.260000e-06	6.589139e-04	-2.696865e-01
1.270000e-06	1.593941e-03	-2.716840e-01
1.280000e-06	-6.438604e-03	-2.718417e-01
1.290000e-06	-2.672154e-03	-2.779024e-01
1.300000e-06	5.767985e-03	-2.800999e-01
1.310000e-06	-1.826192e-03	-2.801001e-01
1.320000e-06	-4.284441e-03	-2.811576e-01
1.330000e-06	-9.110761e-04	-2.834205e-01
1.340000e-06	-9.816042e-04	-2.854708e-01
1.350000e-06	5.055642e-05	-2.907214e-01
1.360000e-06	3.210345e-03	-2.939468e-01
1.370000e-06	-3.698473e-03	-2.960067e-01
1.380000e-06	-3.934617e-03	-3.044627e-01
1.390000e-06	3.497285e-03	-3.055158e-01
1.400000e-06	6.935559e-05	-3.035732e-01
