# 241009_15:42:57.234729
t	CH1	CH2
0.000000e+00	-7.064335e-03	7.949802e-01
1.000000e-08	-9.007913e-03	7.874685e-01
2.000000e-08	-7.371083e-03	7.780951e-01
3.000000e-08	-8.695076e-03	7.716893e-01
4.000000e-08	-9.730518e-03	7.662506e-01
5.000000e-08	-9.705630e-03	7.588995e-01
6.000000e-08	-7.762215e-03	7.444687e-01
7.000000e-08	-4.764000e-03	7.337343e-01
8.000000e-08	-6.491315e-03	7.230575e-01
9.000000e-08	-6.535712e-03	7.170922e-01
1.000000e-07	-7.549762e-03	7.074714e-01
1.100000e-07	-6.765543e-03	6.981502e-01
1.200000e-07	-7.005438e-03	6.864814e-01
1.300000e-07	-7.912876e-03	6.802005e-01
1.400000e-07	-7.998221e-03	6.737820e-01
1.500000e-07	-6.340118e-03	6.630555e-01
1.600000e-07	-4.682146e-03	6.465164e-01
1.700000e-07	-5.194749e-03	6.370475e-01
1.800000e-07	-6.517578e-03	6.265689e-01
1.900000e-07	-6.341566e-03	6.199854e-01
2.000000e-07	-5.812165e-03	6.084233e-01
2.100000e-07	-5.374157e-03	6.011475e-01
2.200000e-07	-6.473536e-03	5.875794e-01
2.300000e-07	-6.920003e-03	5.725797e-01
2.400000e-07	-4.907152e-03	5.558522e-01
2.500000e-07	-5.070116e-03	5.514083e-01
2.600000e-07	-5.594918e-03	5.349426e-01
2.700000e-07	-6.299209e-03	5.213556e-01
2.800000e-07	-5.294708e-03	5.146241e-01
2.900000e-07	-4.609835e-03	4.895192e-01
3.000000e-07	-4.482130e-03	4.769948e-01
3.100000e-07	-4.910695e-03	4.643109e-01
3.200000e-07	-5.223199e-03	4.515244e-01
3.300000e-07	-5.160869e-03	4.381975e-01
3.400000e-07	-5.270012e-03	4.248288e-01
3.500000e-07	-5.001864e-03	4.138242e-01
3.600000e-07	-5.334145e-03	3.969946e-01
3.700000e-07	-4.346561e-03	3.874657e-01
3.800000e-07	-2.850605e-03	3.707268e-01
3.900000e-07	-4.161553e-03	3.601528e-01
4.000000e-07	-4.273092e-03	3.495763e-01
4.100000e-07	-4.456554e-03	3.305237e-01
4.200000e-07	-4.994537e-03	3.199974e-01
4.300000e-07	-4.994534e-03	3.024108e-01
4.400000e-07	-4.285388e-03	2.925791e-01
4.500000e-07	-3.621080e-03	2.819952e-01
4.600000e-07	-3.179751e-03	2.645080e-01
4.700000e-07	-3.380747e-03	2.444660e-01
4.800000e-07	-3.690996e-03	2.338941e-01
4.900000e-07	-3.100040e-03	2.190951e-01
5.000000e-07	-4.139474e-03	2.042679e-01
5.100000e-07	-4.394712e-03	1.948920e-01
5.200000e-07	-4.198469e-03	1.761346e-01
5.300000e-07	-3.208523e-03	1.651030e-01
5.400000e-07	-2.858250e-03	1.493585e-01
5.500000e-07	-3.349962e-03	1.307292e-01
5.600000e-07	-3.212722e-03	1.159921e-01
