# 241009_15:43:01.762592
t	CH1	CH2
0.000000e+00	-4.007107e-03	7.998951e-01
1.000000e-08	-4.824187e-03	7.885558e-01
2.000000e-08	-2.991639e-03	7.840401e-01
3.000000e-08	-2.700908e-03	7.766316e-01
4.000000e-08	-4.781528e-03	7.673582e-01
5.000000e-08	-5.507672e-03	7.590396e-01
6.000000e-08	-3.748417e-03	7.514084e-01
7.000000e-08	-2.303985e-03	7.368272e-01
8.000000e-08	-2.816258e-03	7.273579e-01
9.000000e-08	-4.178200e-03	7.150921e-01
1.000000e-07	-3.773284e-03	7.095188e-01
1.100000e-07	-2.710801e-03	7.029425e-01
1.200000e-07	-2.204451e-03	6.906163e-01
1.300000e-07	-4.747900e-03	6.821528e-01
1.400000e-07	-5.092062e-03	6.768443e-01
1.500000e-07	-4.246343e-03	6.632948e-01
1.600000e-07	-2.877901e-03	6.485584e-01
1.700000e-07	-2.578446e-03	6.359474e-01
1.800000e-07	-4.016777e-03	6.305686e-01
1.900000e-07	-3.156596e-03	6.179895e-01
2.000000e-07	-2.408724e-03	6.084113e-01
2.100000e-07	-2.108168e-03	6.020051e-01
2.200000e-07	-4.148997e-03	5.907088e-01
2.300000e-07	-4.654298e-03	5.696713e-01
2.400000e-07	-3.823513e-03	5.660448e-01
2.500000e-07	-1.958101e-03	5.485710e-01
2.600000e-07	-2.179123e-03	5.368345e-01
2.700000e-07	-3.514750e-03	5.220480e-01
2.800000e-07	-3.618168e-03	5.107141e-01
2.900000e-07	-2.398639e-03	4.936184e-01
3.000000e-07	-2.660333e-03	4.769950e-01
3.100000e-07	-4.133273e-03	4.642555e-01
3.200000e-07	-4.318407e-03	4.547741e-01
3.300000e-07	-3.097626e-03	4.361554e-01
3.400000e-07	-1.850739e-03	4.276132e-01
3.500000e-07	-2.076178e-03	4.095187e-01
3.600000e-07	-3.836871e-03	3.970427e-01
3.700000e-07	-3.707111e-03	3.852633e-01
3.800000e-07	-3.456105e-03	3.718766e-01
3.900000e-07	-2.845351e-03	3.630975e-01
4.000000e-07	-3.612917e-03	3.475641e-01
4.100000e-07	-3.506789e-03	3.285161e-01
4.200000e-07	-2.595987e-03	3.177846e-01
4.300000e-07	-2.445471e-03	3.062108e-01
4.400000e-07	-2.981122e-03	2.926238e-01
4.500000e-07	-3.500815e-03	2.820502e-01
4.600000e-07	-3.561294e-03	2.643584e-01
4.700000e-07	-2.334715e-03	2.502610e-01
4.800000e-07	-2.735303e-03	2.338366e-01
4.900000e-07	-3.149990e-03	2.189446e-01
5.000000e-07	-3.379237e-03	2.063657e-01
5.100000e-07	-2.670757e-03	1.926845e-01
5.200000e-07	-2.627461e-03	1.759453e-01
5.300000e-07	-2.949702e-03	1.632080e-01
5.400000e-07	-3.370223e-03	1.453156e-01
5.500000e-07	-3.048990e-03	1.275740e-01
5.600000e-07	-2.934005e-03	1.169319e-01
5.700000e-07	-2.952727e-03	9.689012e-02
5.800000e-07	-3.473674e-03	7.894476e-02
5.900000e-07	-3.202838e-03	6.221366e-02
6.000000e-07	-2.962638e-03	4.852097e-02
6.100000e-07	-2.432628e-03	3.978961e-02
6.200000e-07	-2.311365e-03	1.734304e-02
6.300000e-07	-3.529155e-03	1.057814e-04
6.400000e-07	-2.928592e-03	-1.052368e-02
6.500000e-07	-4.449453e-04	-2.417028e-02
6.600000e-07	2.102301e-03	-3.774710e-02
6.700000e-07	-4.890838e-05	-5.031528e-02
6.800000e-07	-3.621008e-04	-6.827852e-02
6.900000e-07	-2.627614e-05	-8.000248e-02
7.000000e-07	-1.248676e-03	-9.467843e-02
7.100000e-07	-3.844297e-03	-1.053684e-01
7.200000e-07	6.124528e-04	-1.198998e-01
7.300000e-07	4.486544e-02	-1.356303e-01
7.400000e-07	5.284521e-02	-1.670554e-01
7.500000e-07	-5.700566e-02	-1.937814e-01
7.600000e-07	-5.385962e-02	-2.111763e-01
7.700000e-07	-9.228485e-02	-1.982075e-01
7.800000e-07	1.342284e-01	-1.989418e-01
7.900000e-07	-5.404971e-02	-2.345960e-01
8.000000e-07	-1.461312e-01	-2.519250e-01
8.100000e-07	1.469346e-01	-2.339382e-01
8.200000e-07	1.250140e-02	-2.765337e-01
8.300000e-07	-1.819057e-01	-2.999357e-01
8.400000e-07	9.136201e-02	-2.875147e-01
8.500000e-07	4.793591e-02	-3.251133e-01
8.600000e-07	-1.601445e-01	-3.358446e-01
8.700000e-07	9.450457e-02	-3.303654e-01
8.800000e-07	2.293014e-02	-3.638174e-01
8.900000e-07	-9.152424e-02	-3.717788e-01
9.000000e-07	1.397745e-01	-3.767866e-01
9.100000e-07	-5.785443e-02	-4.053236e-01
9.200000e-07	-8.786723e-02	-4.093184e-01
9.300000e-07	1.099580e-01	-4.212096e-01
9.400000e-07	-8.852400e-02	-4.493734e-01
9.500000e-07	4.890944e-02	-4.431500e-01
9.600000e-07	7.342408e-02	-4.589973e-01
9.700000e-07	-1.083190e-01	-4.814684e-01
9.800000e-07	5.615760e-02	-4.905728e-01
9.900000e-07	6.345892e-03	-5.146870e-01
1.000000e-06	-4.716999e-02	-5.199996e-01
1.010000e-06	1.236564e-02	-5.308884e-01
1.020000e-06	-9.463667e-03	-5.566871e-01
1.030000e-06	5.082832e-02	-5.642101e-01
1.040000e-06	-1.481882e-02	-5.817868e-01
1.050000e-06	-1.702577e-02	-5.842026e-01
1.060000e-06	1.625907e-02	-5.948993e-01
1.070000e-06	-4.784637e-02	-6.126814e-01
1.080000e-06	4.214397e-02	-6.217945e-01
1.090000e-06	-3.844579e-03	-6.357916e-01
1.100000e-06	-3.081245e-02	-6.422001e-01
1.110000e-06	4.197097e-02	-6.516284e-01
1.120000e-06	-2.187987e-02	-6.673114e-01
1.130000e-06	2.244865e-02	-6.736760e-01
1.140000e-06	-1.930491e-02	-6.821077e-01
1.150000e-06	-2.434069e-02	-6.936396e-01
1.160000e-06	2.830489e-02	-7.069951e-01
1.170000e-06	-8.244341e-03	-7.177900e-01
1.180000e-06	1.188604e-02	-7.241500e-01
1.190000e-06	-1.721578e-02	-7.348312e-01
1.200000e-06	2.605858e-03	-7.431447e-01
1.210000e-06	8.286766e-03	-7.525639e-01
1.220000e-06	-9.753412e-03	-7.649350e-01
1.230000e-06	7.114591e-03	-7.663003e-01
1.240000e-06	-1.878216e-02	-7.780426e-01
1.250000e-06	1.040390e-02	-7.907708e-01
1.260000e-06	1.054797e-02	-8.049077e-01
1.270000e-06	-1.173306e-02	-8.102607e-01
1.280000e-06	-4.015244e-03	-8.106610e-01
1.290000e-06	-7.164050e-03	-8.261475e-01
1.300000e-06	1.065542e-02	-8.295605e-01
1.310000e-06	2.523264e-05	-8.356690e-01
1.320000e-06	-6.885587e-03	-8.368525e-01
1.330000e-06	-6.998284e-04	-8.422976e-01
1.340000e-06	9.689826e-04	-8.495135e-01
