# 241009_15:14:45.998764
t	CH1	CH2
0.000000e+00	-1.432800e-02	1.243507e+00
1.000000e-08	-1.190391e-02	1.231183e+00
2.000000e-08	-1.013925e-02	1.223552e+00
3.000000e-08	-1.542194e-02	1.213921e+00
4.000000e-08	-1.193916e-02	1.201242e+00
5.000000e-08	-1.478419e-02	1.185710e+00
6.000000e-08	-5.585552e-03	1.176981e+00
7.000000e-08	-1.280474e-02	1.163447e+00
8.000000e-08	-7.226585e-03	1.149865e+00
9.000000e-08	-1.234153e-02	1.134174e+00
1.000000e-07	-8.948286e-03	1.123350e+00
1.100000e-07	-1.265352e-02	1.103511e+00
1.200000e-07	-1.220105e-02	1.093982e+00
1.300000e-07	-1.244337e-02	1.083198e+00
1.400000e-07	-7.479218e-03	1.068817e+00
1.500000e-07	-5.926484e-03	1.057029e+00
1.600000e-07	-6.631904e-03	1.041239e+00
1.700000e-07	-6.872608e-03	1.028452e+00
1.800000e-07	-1.104813e-02	1.010616e+00
1.900000e-07	-8.179010e-03	9.969236e-01
2.000000e-07	-1.106410e-02	9.760892e-01
2.100000e-07	-8.720282e-03	9.571297e-01
2.200000e-07	-8.830609e-03	9.403976e-01
2.300000e-07	-5.989599e-03	9.284104e-01
2.400000e-07	-5.062828e-03	9.095259e-01
2.500000e-07	-7.303698e-03	8.927283e-01
2.600000e-07	-7.430001e-03	8.718259e-01
2.700000e-07	-9.275558e-03	8.540413e-01
2.800000e-07	-7.341685e-03	8.390394e-01
2.900000e-07	-7.725881e-03	8.192496e-01
3.000000e-07	-6.425721e-03	7.964941e-01
3.100000e-07	-6.976923e-03	7.851997e-01
3.200000e-07	-5.430381e-03	7.642971e-01
3.300000e-07	-5.521377e-03	7.360467e-01
3.400000e-07	-6.752510e-03	7.169866e-01
3.500000e-07	-6.577950e-03	6.962392e-01
3.600000e-07	-6.569324e-03	6.798943e-01
3.700000e-07	-5.962630e-03	6.580867e-01
3.800000e-07	-5.187277e-03	6.328342e-01
3.900000e-07	-6.608680e-03	6.170418e-01
4.000000e-07	-3.610904e-03	5.990468e-01
4.100000e-07	-9.860329e-03	5.770516e-01
4.200000e-07	-2.595371e-03	5.537394e-01
4.300000e-07	-8.058562e-03	5.309865e-01
4.400000e-07	-3.275622e-03	5.125782e-01
4.500000e-07	-5.867595e-03	4.823580e-01
4.600000e-07	-3.382945e-03	4.623431e-01
4.700000e-07	-2.885939e-03	4.424028e-01
4.800000e-07	-5.567540e-03	4.243501e-01
4.900000e-07	-4.619547e-03	3.960471e-01
5.000000e-07	-9.412452e-03	3.811445e-01
5.100000e-07	-4.505995e-03	3.600377e-01
5.200000e-07	-6.611812e-03	3.358919e-01
5.300000e-07	-3.636567e-03	3.135236e-01
5.400000e-07	-2.645260e-03	2.986294e-01
5.500000e-07	-2.129770e-03	2.718759e-01
5.600000e-07	-2.022034e-03	2.483077e-01
5.700000e-07	-5.522838e-03	2.231454e-01
5.800000e-07	-6.400263e-03	2.012154e-01
5.900000e-07	-6.174997e-03	1.885074e-01
6.000000e-07	-4.848738e-03	1.578846e-01
6.100000e-07	-3.555316e-03	1.316817e-01
6.200000e-07	-2.764278e-03	1.113155e-01
6.300000e-07	-2.379205e-03	7.910010e-02
6.400000e-07	-1.563902e-03	5.789489e-02
6.500000e-07	-3.568155e-03	3.599711e-02
6.600000e-07	-3.988906e-03	1.246657e-02
6.700000e-07	-4.726871e-03	-1.152671e-02
6.800000e-07	-2.205070e-03	-3.058895e-02
6.900000e-07	7.401375e-03	-5.067893e-02
7.000000e-07	2.319594e-04	-7.694462e-02
7.100000e-07	2.170203e-03	-9.478911e-02
7.200000e-07	7.009695e-04	-1.158819e-01
7.300000e-07	2.610575e-04	-1.382034e-01
7.400000e-07	-5.367180e-03	-1.640129e-01
7.500000e-07	7.331550e-03	-1.803102e-01
7.600000e-07	9.573813e-02	-1.983027e-01
7.700000e-07	1.939029e-02	-2.503709e-01
7.800000e-07	-7.633612e-02	-2.761456e-01
7.900000e-07	-4.277828e-03	-3.072127e-01
8.000000e-07	-1.224208e-01	-3.210600e-01
8.100000e-07	1.948078e-02	-3.084105e-01
8.200000e-07	1.383745e-01	-3.424099e-01
8.300000e-07	-2.135522e-01	-3.785143e-01
8.400000e-07	1.661586e-01	-3.570392e-01
8.500000e-07	4.194678e-02	-4.117414e-01
8.600000e-07	-1.978642e-01	-4.356320e-01
8.700000e-07	1.972590e-01	-4.300189e-01
8.800000e-07	-9.864936e-02	-4.990074e-01
8.900000e-07	-7.804671e-02	-4.751292e-01
9.000000e-07	1.809643e-01	-5.075736e-01
9.100000e-07	-1.914265e-01	-5.535916e-01
9.200000e-07	1.559950e-01	-5.444022e-01
9.300000e-07	4.698114e-03	-5.989995e-01
9.400000e-07	-1.191854e-01	-6.034554e-01
9.500000e-07	1.510428e-01	-6.132973e-01
9.600000e-07	-1.919309e-01	-6.663729e-01
9.700000e-07	1.238569e-01	-6.573413e-01
9.800000e-07	-3.483547e-03	-7.004676e-01
9.900000e-07	-2.697524e-02	-7.048150e-01
1.000000e-06	1.195618e-01	-7.319166e-01
1.010000e-06	-1.701244e-01	-7.707734e-01
1.020000e-06	1.637744e-01	-7.637604e-01
1.030000e-06	-1.069798e-01	-8.138388e-01
1.040000e-06	-4.471111e-03	-8.109841e-01
1.050000e-06	9.400094e-02	-8.351971e-01
1.060000e-06	-8.577792e-02	-8.615179e-01
1.070000e-06	1.443568e-01	-8.677702e-01
1.080000e-06	-1.245885e-01	-8.972501e-01
1.090000e-06	6.631273e-02	-9.034525e-01
1.100000e-06	-3.535033e-02	-9.339813e-01
1.110000e-06	8.747080e-04	-9.424626e-01
1.120000e-06	5.727737e-02	-9.551841e-01
1.130000e-06	-7.433261e-02	-9.781871e-01
1.140000e-06	9.446195e-02	-9.873527e-01
1.150000e-06	-5.736699e-02	-1.008831e+00
1.160000e-06	6.228269e-02	-1.019402e+00
1.170000e-06	-4.073742e-02	-1.040357e+00
1.180000e-06	-6.651917e-03	-1.053981e+00
1.190000e-06	3.230000e-02	-1.069667e+00
1.200000e-06	-1.622240e-02	-1.083399e+00
1.210000e-06	4.668115e-02	-1.087608e+00
1.220000e-06	-4.268885e-02	-1.113770e+00
1.230000e-06	4.423493e-02	-1.119332e+00
1.240000e-06	-2.118044e-02	-1.137400e+00
1.250000e-06	2.623858e-02	-1.148966e+00
1.260000e-06	-9.214786e-03	-1.162502e+00
1.270000e-06	-1.342571e-03	-1.177392e+00
1.280000e-06	2.190797e-02	-1.193928e+00
1.290000e-06	1.816234e-03	-1.209721e+00
1.300000e-06	1.938581e-02	-1.219091e+00
1.310000e-06	-1.762965e-02	-1.230828e+00
1.320000e-06	2.086388e-02	-1.239297e+00
1.330000e-06	2.775512e-03	-1.249921e+00
1.340000e-06	1.792463e-02	-1.260594e+00
1.350000e-06	-1.321225e-03	-1.270986e+00
1.360000e-06	6.410078e-03	-1.285655e+00
1.370000e-06	1.447160e-02	-1.293126e+00
1.380000e-06	9.280957e-03	-1.304442e+00
1.390000e-06	8.661797e-03	-1.306563e+00
1.400000e-06	-9.536338e-04	-1.313941e+00
1.410000e-06	1.407907e-02	-1.319552e+00
1.420000e-06	1.376084e-02	-1.328066e+00
