# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_268486.51432338735
# 
Resultados:
# tau_s_=_(4.78+/-0.16)e+01
# dphi_rad_=_6.36+/-0.00
# SAR_W/g_=_57.79+/-1.91
# Hc_kA/m_=_1.78+/-0.03
# Mr_A/m_=_50.32+/-0.90
# Suceptibilidad_a_M=0_=_0.0292+/-0.0001
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
265kHz_045dA_100Mss_bobN1FG20007.txt		20.00	48.64	1.74	18020.35	349.37	2.685164e+05	1.211545e+01	6.360015e+00	55.00	45.632104	4469	2.886e-02
265kHz_045dA_100Mss_bobN1FG20008.txt		20.00	50.97	1.80	18020.35	350.44	2.685164e+05	1.217169e+01	6.366117e+00	59.63	49.271924	4469	2.916e-02
265kHz_045dA_100Mss_bobN1FG20009.txt		20.00	49.00	1.74	18020.35	352.96	2.685164e+05	1.221464e+01	6.358719e+00	54.52	44.859364	4469	2.904e-02
265kHz_045dA_100Mss_bobN1FG20010.txt		20.00	51.97	1.84	18020.35	350.51	2.685164e+05	1.219729e+01	6.367983e+00	61.10	50.386750	4469	2.926e-02
265kHz_045dA_100Mss_bobN1FG20011.txt		20.00	51.49	1.82	18020.35	350.33	2.685164e+05	1.218734e+01	6.366208e+00	59.77	49.326449	4469	2.920e-02
265kHz_045dA_100Mss_bobN1FG20012.txt		20.00	51.24	1.80	18020.35	351.22	2.685164e+05	1.221896e+01	6.366736e+00	60.31	49.641785	4469	2.934e-02
265kHz_045dA_100Mss_bobN1FG20013.txt		20.00	50.84	1.80	18020.35	349.28	2.685164e+05	1.216025e+01	6.366003e+00	59.49	49.204434	4469	2.914e-02
265kHz_045dA_100Mss_bobN1FG20014.txt		20.00	51.65	1.82	18020.35	350.21	2.685164e+05	1.219272e+01	6.367433e+00	60.68	50.058614	4469	2.934e-02
265kHz_045dA_100Mss_bobN1FG20015.txt		20.00	49.40	1.75	18020.35	349.80	2.684564e+05	1.213820e+01	6.360033e+00	55.10	45.643200	4470	2.916e-02
265kHz_045dA_100Mss_bobN1FG20016.txt		20.00	51.12	1.81	18020.35	348.75	2.685164e+05	1.213267e+01	6.365966e+00	59.33	49.183051	4469	2.909e-02
265kHz_045dA_100Mss_bobN1FG20017.txt		20.00	50.87	1.80	18020.35	351.10	2.685164e+05	1.220384e+01	6.364306e+00	58.49	48.192820	4469	2.935e-02
265kHz_045dA_100Mss_bobN1FG20018.txt		20.00	49.82	1.77	18020.35	348.72	2.684564e+05	1.211843e+01	6.361181e+00	55.83	46.328252	4470	2.908e-02
265kHz_045dA_100Mss_bobN1FG20019.txt		20.00	49.92	1.77	18020.35	350.62	2.684564e+05	1.218751e+01	6.362535e+00	57.12	47.137037	4470	2.902e-02
265kHz_045dA_100Mss_bobN1FG20020.txt		20.00	50.99	1.80	18020.35	350.98	2.685164e+05	1.218021e+01	6.364848e+00	58.76	48.516269	4469	2.925e-02
