# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_268486.51698971086
# 
Resultados:
# tau_ns_=_(4.78+/-0.16)e+01
# dphi_rad_=_6.36+/-0.00
# SAR_W/g_=_57.79+/-1.91
# Hc_kA/m_=_1.78+/-0.03
# Mr_A/m_=_50.30+/-0.89
# Magnetizacion_max_emu/g_=_35.03+/-0.12
# Suceptibilidad_a_M=0_=_(2.909+/-0.012)e-02

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
265kHz_045dA_100Mss_bobN1FG20007.txt		20.00	48.67	1.73	18020.35	349.38	2.685164e+05	1.211545e+01	6.360015e+00	55.00	45.632105	4469	2.890e-02
265kHz_045dA_100Mss_bobN1FG20008.txt		20.00	50.93	1.80	18020.35	350.54	2.685164e+05	1.217169e+01	6.366117e+00	59.63	49.271923	4469	2.904e-02
265kHz_045dA_100Mss_bobN1FG20009.txt		20.00	49.06	1.74	18020.35	353.16	2.685164e+05	1.221464e+01	6.358719e+00	54.52	44.859364	4469	2.905e-02
265kHz_045dA_100Mss_bobN1FG20010.txt		20.00	51.95	1.83	18020.35	350.55	2.685164e+05	1.219729e+01	6.367983e+00	61.10	50.386749	4469	2.926e-02
265kHz_045dA_100Mss_bobN1FG20011.txt		20.00	51.50	1.82	18020.35	350.52	2.685164e+05	1.218734e+01	6.366208e+00	59.77	49.326449	4469	2.921e-02
265kHz_045dA_100Mss_bobN1FG20012.txt		20.00	51.17	1.80	18020.35	351.34	2.685164e+05	1.221896e+01	6.366736e+00	60.31	49.641785	4469	2.922e-02
265kHz_045dA_100Mss_bobN1FG20013.txt		20.00	50.84	1.80	18020.35	349.24	2.685164e+05	1.216025e+01	6.366003e+00	59.49	49.204434	4469	2.906e-02
265kHz_045dA_100Mss_bobN1FG20014.txt		20.00	51.65	1.82	18020.35	350.20	2.685164e+05	1.219272e+01	6.367433e+00	60.68	50.058614	4469	2.925e-02
265kHz_045dA_100Mss_bobN1FG20015.txt		20.00	49.42	1.74	18020.35	349.84	2.684564e+05	1.213820e+01	6.360033e+00	55.10	45.643200	4470	2.911e-02
265kHz_045dA_100Mss_bobN1FG20016.txt		20.00	51.04	1.81	18020.35	348.78	2.685164e+05	1.213267e+01	6.365966e+00	59.33	49.183052	4469	2.900e-02
